window_id,label_code,pca_x,pca_y
0,1,-0.51737976,0.14997482
1,3,-1.3557796,0.15216947
2,1,-0.064725876,0.20189595
3,0,0.06996536,0.14611983
4,0,0.37633705,-0.008486509
5,0,0.43968582,0.20753765
6,0,0.36716652,0.15415788
7,0,0.011051178,0.14771986
8,0,0.8748398,-0.026606083
9,0,0.3834076,0.16898918
10,1,-0.09497452,0.19828749
11,1,-0.9107704,0.18327403
12,1,-0.96902466,0.32938075
13,1,0.52814674,-0.19242501
14,0,0.3577881,0.1600604
15,0,0.8718262,-0.018612146
16,0,0.74458885,-0.0008237362
17,0,0.832674,-0.024477243
18,0,0.21582794,0.10847688
19,0,0.4050579,0.16823769
20,0,0.46412468,0.17471266
21,0,0.28594208,0.1642878
22,1,-0.65678406,0.054986
23,0,0.5125847,0.1355269
24,0,0.37517738,0.17058182
25,1,0.309824,-0.025490046
26,0,0.8358803,-0.049845934
27,0,0.2251606,0.025272846
28,1,0.13171959,0.034889698
29,1,-0.27907944,0.3104477
30,1,-0.19582748,0.1547842
31,1,0.09192276,0.07398987
32,0,0.41875267,0.1726985
33,0,0.7604046,-0.02229166
34,3,-6.9195194,-0.6915047
35,3,-0.7484417,-0.37269115
36,1,-1.9536676,0.19130683
37,3,-2.7023115,0.27471137
38,1,-1.4877167,0.18147969
39,0,0.33849907,-0.02719593
40,0,0.91558456,-0.028259277
41,1,-0.23450851,0.1875093
42,0,0.4759426,0.16509056
43,1,-0.36585426,0.23589826
44,0,0.9684067,-0.0978179
45,0,0.66221046,-0.007355213
46,0,0.46917725,0.18718004
47,0,0.46320152,0.20130348
48,0,0.6400757,0.11685085
49,0,0.41044044,0.15220451
50,0,0.50102997,0.18842292
51,1,-0.1422596,-0.0022335052
52,0,0.48962975,0.17298198
53,1,-0.5272274,0.20216656
54,0,0.49389458,0.19449973
55,1,-0.8436413,0.21153498
56,1,-0.24271965,0.12550735
57,0,0.5742779,0.12553596
58,0,0.41132355,0.20605779
59,1,-0.2409172,0.24325323
60,0,0.3315277,0.06938934
61,0,0.6285782,0.1519463
62,0,0.7021103,0.023414135
63,1,-1.0812607,0.05543685
64,0,0.91233826,-0.017680407
65,0,-0.30452347,0.054953575
66,0,0.12498665,0.16111612
67,0,0.43564606,0.17277026
68,1,-0.69807625,0.56979895
69,1,0.55872345,0.1332016
70,0,0.8629532,-0.022517443
71,0,0.60639954,0.0490036
72,0,0.5052681,0.16535974
73,0,0.51307297,0.1615963
74,1,-0.39557648,0.14184856
75,1,-0.10058594,0.19723487
76,0,0.17056084,0.13813901
77,0,0.8169613,-0.115017176
78,0,0.33288765,0.20827317
79,1,-0.4431839,-0.05390525
80,0,0.64141846,0.12249303
81,1,-1.7225399,0.1774993
82,1,-0.8666992,0.25102472
83,0,0.46450615,0.18192267
84,1,0.079092026,0.09721637
85,0,0.4664173,0.15366364
86,0,0.55978966,0.13743472
87,0,0.6493435,0.14372373
88,0,0.7851181,-0.019121885
89,0,0.7294159,0.016023874
90,0,0.025844574,0.020895958
91,0,0.6599083,-0.010197163
92,0,0.55483055,0.15630221
93,0,0.48850632,0.15618253
94,0,0.92490196,-0.022777796
95,0,0.5776062,-0.1359675
96,1,0.013486862,0.14269018
97,0,-1.0238056,0.29996443
98,0,0.52148247,0.12807512
99,0,0.6911831,0.05907321
100,0,0.31891823,-0.090592384
101,0,0.25243187,0.0955441
102,0,0.80371475,-0.089757204
103,1,-0.28912544,0.16648483
104,0,0.6052685,0.12322402
105,0,0.74557114,0.016732454
106,0,0.7787552,-0.04217148
107,0,0.35517693,0.19518948
108,0,0.723196,0.042123556
109,0,0.33241653,0.23055983
110,2,-1.9480114,-0.046113968
111,3,-3.130828,0.2212367
112,2,-0.14621735,0.09945822
113,1,-1.2641735,0.1031816
114,3,-0.7831173,-0.36884594
115,3,-2.4508553,-0.2721691
116,0,0.32575226,0.14364552
117,1,-2.0506716,0.1645422
118,1,-0.31804657,-0.068980694
119,3,-2.555811,-0.02067566
120,0,0.82115364,-0.089464664
121,0,-0.08630562,0.16234803
122,0,0.711874,0.015830278
123,1,-0.85107803,-0.062437773
124,1,-0.80628395,0.30551553
125,0,0.22955704,0.015543699
126,3,-1.0214539,-0.25401163
127,0,0.13265228,0.15637803
128,0,0.6965275,0.0045702457
129,1,-1.1595955,0.076286316
130,3,-0.791008,-0.29070187
131,3,-3.2817554,-0.41026163
132,3,-1.406393,-0.43278122
133,3,-7.2975025,-0.65333295
134,3,-8.938258,-0.97017574
135,3,-1.2164879,-0.42581987
136,1,-3.24714,0.27734423
137,0,0.42893028,0.09528279
138,3,-0.9096298,0.28662896
139,2,0.48691177,-0.18006825
140,0,1.0080967,-0.18502474
141,0,0.31327248,-0.019893646
142,1,-0.10832214,0.10557294
143,0,0.74080086,-0.050614834
144,1,0.277565,-0.21455169
145,1,0.1748085,-0.05454421
146,0,0.8408165,-0.045092106
147,0,0.8835678,-0.0002708435
148,1,-0.112838745,0.13327312
149,0,0.9434719,-0.056973696
150,0,0.90864944,-0.09458065
151,0,0.56835365,0.07234335
152,0,0.80166626,-0.025727034
153,0,0.50302505,0.10340476
154,0,-0.24074364,-0.21330166
155,0,0.65296936,0.029729843
156,1,0.007080078,0.042152643
157,0,0.5070019,0.1592629
158,0,0.34168816,0.19062924
159,0,0.71733665,0.113758326
160,0,0.42001343,0.12512374
161,0,0.4500103,0.17735481
162,0,0.6201706,0.12352729
163,1,-1.1379223,0.27370858
164,1,-2.6459656,-0.12549686
165,0,0.3896351,0.1531198
166,0,0.858572,-0.032338142
167,0,0.40067673,0.12928534
168,0,0.4538288,0.18297696
169,0,0.86151314,-0.008519173
170,1,-0.5343132,0.2118454
171,0,0.44410706,0.046185255
172,0,0.47988892,-0.27023554
173,1,-0.33332253,-0.10809183
174,1,0.05284691,-0.34159732
175,1,-0.1230526,0.13476467
176,0,0.51327324,0.09585333
177,0,0.69039345,-0.0066127777
178,0,0.8719082,-0.06372428
179,0,-0.7945881,0.13616347
180,0,0.5884495,0.13773298
181,0,0.64245033,-0.039497375
182,0,0.5028782,0.087877035
183,0,0.52295685,0.11847305
184,0,0.6201019,0.102189064
185,0,0.7643471,-0.010014296
186,0,0.5205631,0.17691398
187,0,0.36686707,0.062166452
188,0,0.41802406,0.18446422
189,0,0.38422394,0.141047
190,0,1.0859566,-0.17897892
191,0,0.40471077,0.04488206
192,0,0.37499237,0.09598231
193,0,0.6691475,-0.23606873
194,0,0.062177658,-0.11744499
195,1,-0.42539406,0.23164964
196,0,0.7808609,0.06682062
197,0,0.8517456,-0.032039642
198,1,-0.38928032,0.27162218
199,1,-0.693985,0.04788518
200,0,0.8249817,-0.14191055
201,1,-0.48230743,-0.04055786
202,1,-2.0340147,0.06686783
203,0,0.7075958,-0.030143976
204,0,0.8605099,-0.06679869
205,1,-0.29085922,0.26626182
206,0,0.6316185,0.07654643
207,0,0.58319855,0.10723233
208,0,0.49449348,0.1323216
209,0,0.42052078,0.16624403
210,0,-0.1845398,0.10201001
211,0,0.7825146,-0.06948328
212,0,0.03148079,-0.009105444
213,0,0.62371254,0.099333525
214,0,0.4892044,0.14901471
215,1,-1.9160147,0.04471469
216,1,-0.14606285,0.18335938
217,1,-0.14081383,-0.108193636
